Issue Type,Region,How Resolved,No Of Parcels,Days To Resolve,Rating
Customer Account Issue,East Midlands,Manual Password/Username Reset,6,4,4
Collection Issue,North Wales,Partial Refund Issued,7,1,3
Customer Account Issue,South Wales,Automated Password/Username Reset,8,3,1
Collection Issue,South West,Full Refund Issued,1,3,2
Collection Issue,North West,Partial Refund Issued,6,3,5
Collection Issue,South Wales,Full Refund Issued,10,4,3
Customer Account Issue,North East,Manual Password/Username Reset,2,3,1
Service Complaint,South West,Full Refund Issued,1,2,1
Collection Issue,East Midlands,Full Refund Issued,1,2,2
Customer Account Issue,East Midlands,Automated Password/Username Reset,9,3,5
Delivery Issue,West Midlands,Full Refund Issued,1,2,3
Collection Issue,Yorkshire and The Humber,Partial Refund Issued,2,1,4
Service Complaint,North East,Partial Refund Issued,9,2,3
Service Complaint,London,Partial Refund Issued,9,2,2
Customer Account Issue,South West,Automated Password/Username Reset,5,2,4
Collection Issue,South Wales,Full Refund Issued,5,3,1
Service Complaint,East Midlands,Full Refund Issued,4,3,3
Collection Issue,East of England,Partial Refund Issued,6,1,2
Delivery Issue,South West,Full Refund Issued,8,1,1
Customer Account Issue,South West,Manual Password/Username Reset,1,4,1
Delivery Issue,Northern Ireland,Full Refund Issued,8,2,3
Delivery Issue,South West,Partial Refund Issued,10,2,5
Collection Issue,East of England,Partial Refund Issued,2,2,5
Customer Account Issue,Yorkshire and The Humber,Account Updated,4,2,5
Customer Account Issue,Yorkshire and The Humber,Manual Password/Username Reset,8,1,4
Service Complaint,London,Full Refund Issued,4,4,1
Delivery Issue,East of England,Full Refund Issued,2,2,4
Delivery Issue,London,Partial Refund Issued,7,1,5
Customer Account Issue,East of England,Account Updated,6,2,5
Service Complaint,North West,Full Refund Issued,8,3,3
Collection Issue,Scotland,Full Refund Issued,2,3,4
Customer Account Issue,South Wales,Manual Password/Username Reset,5,1,1
Collection Issue,North West,Partial Refund Issued,8,1,5
Collection Issue,South West,Partial Refund Issued,10,1,4
Collection Issue,Northern Ireland,Full Refund Issued,4,4,1
Customer Account Issue,East of England,Automated Password/Username Reset,5,1,2
Delivery Issue,South West,Full Refund Issued,6,2,5
Service Complaint,South West,Full Refund Issued,4,3,2
Collection Issue,North West,Partial Refund Issued,1,1,4
Collection Issue,South Wales,Full Refund Issued,9,4,1
Delivery Issue,West Midlands,Partial Refund Issued,5,4,5
Customer Account Issue,Northern Ireland,Manual Password/Username Reset,4,2,3
Customer Account Issue,London,Account Updated,1,3,3
Collection Issue,South West,Partial Refund Issued,7,1,1
Delivery Issue,Northern Ireland,Full Refund Issued,5,3,3
Delivery Issue,Northern Ireland,Full Refund Issued,2,1,3
Delivery Issue,North Wales,Partial Refund Issued,2,2,2
Service Complaint,East of England,Partial Refund Issued,6,4,3
Customer Account Issue,Scotland,Account Updated,5,2,3
Service Complaint,North Wales,Full Refund Issued,7,3,2
Customer Account Issue,North East,Account Updated,1,2,4
Delivery Issue,Northern Ireland,Partial Refund Issued,2,2,4
Delivery Issue,West Midlands,Partial Refund Issued,3,3,2
Service Complaint,North Wales,Full Refund Issued,1,1,4
Customer Account Issue,South East,Manual Password/Username Reset,3,3,2
Customer Account Issue,South East,Automated Password/Username Reset,5,1,5
Customer Account Issue,East Midlands,Account Updated,8,1,4
Collection Issue,South West,Partial Refund Issued,1,2,5
Delivery Issue,West Midlands,Partial Refund Issued,1,2,3
Collection Issue,South Wales,Partial Refund Issued,1,4,5
Service Complaint,South West,Full Refund Issued,4,2,5
Service Complaint,West Midlands,Full Refund Issued,2,1,3
Delivery Issue,Northern Ireland,Full Refund Issued,6,3,3
Service Complaint,London,Full Refund Issued,3,2,4
Customer Account Issue,North Wales,Manual Password/Username Reset,1,2,5
Customer Account Issue,South West,Manual Password/Username Reset,2,3,5
Delivery Issue,Northern Ireland,Partial Refund Issued,7,2,4
Service Complaint,South East,Partial Refund Issued,6,3,5
Collection Issue,Yorkshire and The Humber,Partial Refund Issued,1,2,3
Collection Issue,North West,Full Refund Issued,2,4,3
Customer Account Issue,London,Manual Password/Username Reset,5,2,1
Delivery Issue,West Midlands,Full Refund Issued,7,2,2
Delivery Issue,Northern Ireland,Full Refund Issued,1,1,4
Customer Account Issue,South West,Automated Password/Username Reset,2,4,3
Delivery Issue,Scotland,Full Refund Issued,7,1,2
Collection Issue,North West,Full Refund Issued,1,3,1
Delivery Issue,Scotland,Full Refund Issued,6,2,5
Customer Account Issue,North East,Automated Password/Username Reset,3,3,1
Service Complaint,West Midlands,Full Refund Issued,9,2,4
Customer Account Issue,Yorkshire and The Humber,Manual Password/Username Reset,8,4,1
Collection Issue,Scotland,Full Refund Issued,8,1,3
Service Complaint,East of England,Partial Refund Issued,7,1,5
Collection Issue,North East,Full Refund Issued,4,1,5
Collection Issue,Yorkshire and The Humber,Full Refund Issued,7,4,3
Collection Issue,West Midlands,Partial Refund Issued,10,4,4
Delivery Issue,North West,Full Refund Issued,4,1,3
Service Complaint,North Wales,Partial Refund Issued,6,2,1
Collection Issue,London,Full Refund Issued,1,3,2
Service Complaint,South Wales,Partial Refund Issued,9,3,2
Service Complaint,West Midlands,Full Refund Issued,9,3,4
Customer Account Issue,North West,Automated Password/Username Reset,7,3,3
Collection Issue,Scotland,Full Refund Issued,1,1,4
Collection Issue,East Midlands,Partial Refund Issued,3,4,5
Service Complaint,North West,Full Refund Issued,8,4,4
Delivery Issue,North East,Full Refund Issued,9,1,3
Delivery Issue,Northern Ireland,Full Refund Issued,4,1,1
Collection Issue,North Wales,Partial Refund Issued,7,3,1
Customer Account Issue,South East,Manual Password/Username Reset,2,3,1
Service Complaint,South West,Full Refund Issued,2,3,5
Collection Issue,Northern Ireland,Full Refund Issued,5,3,2
Delivery Issue,South Wales,Full Refund Issued,2,1,5
Customer Account Issue,London,Automated Password/Username Reset,1,1,5
Service Complaint,South East,Full Refund Issued,4,4,1
Customer Account Issue,East Midlands,Automated Password/Username Reset,10,4,3
Delivery Issue,Scotland,Full Refund Issued,1,4,3
Delivery Issue,South Wales,Partial Refund Issued,2,1,2
Customer Account Issue,North Wales,Automated Password/Username Reset,8,2,5
Service Complaint,Yorkshire and The Humber,Partial Refund Issued,1,3,2
Collection Issue,South East,Full Refund Issued,4,3,5
Collection Issue,Scotland,Full Refund Issued,6,4,5
Customer Account Issue,West Midlands,Manual Password/Username Reset,6,3,2
Delivery Issue,Northern Ireland,Partial Refund Issued,10,1,5
Delivery Issue,Northern Ireland,Full Refund Issued,5,2,2
Delivery Issue,London,Full Refund Issued,2,3,3
Delivery Issue,West Midlands,Full Refund Issued,9,1,4
Delivery Issue,North Wales,Partial Refund Issued,9,1,1
Service Complaint,South Wales,Partial Refund Issued,3,4,3
Customer Account Issue,South East,Automated Password/Username Reset,6,1,2
Delivery Issue,Northern Ireland,Partial Refund Issued,10,4,4
Service Complaint,West Midlands,Full Refund Issued,9,1,3
Customer Account Issue,West Midlands,Automated Password/Username Reset,8,2,5
Service Complaint,South West,Partial Refund Issued,1,1,3
Customer Account Issue,South East,Manual Password/Username Reset,7,4,5
Customer Account Issue,West Midlands,Automated Password/Username Reset,1,1,2
Customer Account Issue,Northern Ireland,Automated Password/Username Reset,2,3,2
Collection Issue,South East,Full Refund Issued,8,2,4
Customer Account Issue,North Wales,Account Updated,7,2,1
Delivery Issue,South Wales,Partial Refund Issued,9,2,4
Customer Account Issue,Northern Ireland,Account Updated,10,4,4
Customer Account Issue,South Wales,Account Updated,7,4,2
Customer Account Issue,South Wales,Automated Password/Username Reset,8,2,2
Delivery Issue,Northern Ireland,Partial Refund Issued,2,1,3
Service Complaint,Scotland,Partial Refund Issued,8,2,4
Customer Account Issue,Scotland,Manual Password/Username Reset,1,3,2
Customer Account Issue,South West,Automated Password/Username Reset,2,3,2
Delivery Issue,East of England,Full Refund Issued,9,4,4
Service Complaint,South Wales,Full Refund Issued,4,4,4
Customer Account Issue,South Wales,Automated Password/Username Reset,8,2,5
Collection Issue,North East,Partial Refund Issued,5,3,1
Service Complaint,North Wales,Full Refund Issued,10,1,1
Collection Issue,South Wales,Partial Refund Issued,10,4,5
Customer Account Issue,North West,Manual Password/Username Reset,5,4,5
Collection Issue,Yorkshire and The Humber,Partial Refund Issued,3,4,2
Delivery Issue,North West,Full Refund Issued,6,2,5
Collection Issue,South West,Partial Refund Issued,7,4,2
Service Complaint,East of England,Partial Refund Issued,7,4,1
Collection Issue,Northern Ireland,Partial Refund Issued,2,1,4
Customer Account Issue,North East,Automated Password/Username Reset,9,1,3
Service Complaint,London,Full Refund Issued,6,1,3
Delivery Issue,North West,Partial Refund Issued,8,3,5
Delivery Issue,North East,Partial Refund Issued,4,2,5
Service Complaint,East of England,Partial Refund Issued,10,2,4
Delivery Issue,Scotland,Full Refund Issued,1,1,2
Delivery Issue,North Wales,Full Refund Issued,2,3,3
Collection Issue,Yorkshire and The Humber,Full Refund Issued,2,1,4
Collection Issue,South East,Partial Refund Issued,2,3,4
Customer Account Issue,East of England,Account Updated,2,2,3
Service Complaint,South Wales,Full Refund Issued,2,1,4
Service Complaint,London,Full Refund Issued,2,4,4
Service Complaint,South Wales,Full Refund Issued,6,3,4
Service Complaint,Scotland,Full Refund Issued,6,1,1
Customer Account Issue,South West,Account Updated,8,1,1
Customer Account Issue,South Wales,Account Updated,3,1,4
Service Complaint,Yorkshire and The Humber,Full Refund Issued,9,1,1
Service Complaint,Northern Ireland,Full Refund Issued,1,2,2
Service Complaint,North Wales,Full Refund Issued,8,4,3
Customer Account Issue,South West,Manual Password/Username Reset,9,1,1
Delivery Issue,West Midlands,Partial Refund Issued,9,1,3
Collection Issue,London,Full Refund Issued,2,2,1
Service Complaint,North East,Partial Refund Issued,7,3,4
Customer Account Issue,North East,Account Updated,1,2,2
Service Complaint,East Midlands,Partial Refund Issued,9,1,1
Collection Issue,North West,Full Refund Issued,7,1,4
Customer Account Issue,North Wales,Manual Password/Username Reset,5,3,3
Collection Issue,West Midlands,Full Refund Issued,4,2,4
Delivery Issue,North East,Partial Refund Issued,2,4,2
Service Complaint,Northern Ireland,Full Refund Issued,2,2,2
Delivery Issue,East Midlands,Partial Refund Issued,8,3,4
Service Complaint,East of England,Partial Refund Issued,3,4,3
Collection Issue,London,Full Refund Issued,1,4,5
Customer Account Issue,East Midlands,Automated Password/Username Reset,9,4,1
Delivery Issue,North West,Full Refund Issued,3,2,3
Service Complaint,Scotland,Partial Refund Issued,9,2,5
Service Complaint,West Midlands,Partial Refund Issued,6,4,1
Customer Account Issue,North Wales,Manual Password/Username Reset,2,3,4
Customer Account Issue,South Wales,Automated Password/Username Reset,2,4,2
Delivery Issue,North East,Partial Refund Issued,9,3,5
Delivery Issue,South Wales,Full Refund Issued,1,1,1
Service Complaint,Scotland,Full Refund Issued,1,3,1
Customer Account Issue,North Wales,Account Updated,2,1,4
Collection Issue,West Midlands,Partial Refund Issued,4,2,4
Service Complaint,South Wales,Partial Refund Issued,6,2,5
Customer Account Issue,Scotland,Account Updated,7,3,4
Collection Issue,South West,Full Refund Issued,4,4,2
Service Complaint,West Midlands,Partial Refund Issued,10,4,1
Collection Issue,North Wales,Partial Refund Issued,9,1,3
Delivery Issue,North Wales,Full Refund Issued,3,1,5
Service Complaint,Yorkshire and The Humber,Partial Refund Issued,4,2,2
Collection Issue,South Wales,Partial Refund Issued,7,4,1
Service Complaint,North West,Partial Refund Issued,7,3,3
Delivery Issue,North Wales,Full Refund Issued,3,2,3
Collection Issue,East Midlands,Partial Refund Issued,6,3,5
Delivery Issue,North Wales,Partial Refund Issued,10,1,3
Collection Issue,North Wales,Partial Refund Issued,2,3,1
Collection Issue,North East,Full Refund Issued,4,4,2
Delivery Issue,East Midlands,Partial Refund Issued,4,2,4
Collection Issue,South East,Partial Refund Issued,9,2,4
Service Complaint,South Wales,Full Refund Issued,4,2,2
Collection Issue,East of England,Full Refund Issued,4,4,2
Collection Issue,London,Partial Refund Issued,3,1,3
Customer Account Issue,East Midlands,Account Updated,9,4,1
Service Complaint,North West,Partial Refund Issued,6,3,4
Collection Issue,South West,Full Refund Issued,5,3,2
Delivery Issue,North West,Full Refund Issued,1,3,5
Delivery Issue,South East,Full Refund Issued,10,2,4
Delivery Issue,South East,Partial Refund Issued,4,2,2
Customer Account Issue,West Midlands,Account Updated,10,2,2
Customer Account Issue,East Midlands,Automated Password/Username Reset,6,2,5
Delivery Issue,Scotland,Partial Refund Issued,5,2,3
Delivery Issue,South West,Full Refund Issued,3,4,5
Customer Account Issue,South West,Manual Password/Username Reset,7,2,2
Collection Issue,Scotland,Full Refund Issued,6,2,3
Delivery Issue,Scotland,Full Refund Issued,4,3,3
Delivery Issue,London,Full Refund Issued,9,2,5
Delivery Issue,South East,Partial Refund Issued,1,1,2
Delivery Issue,West Midlands,Partial Refund Issued,2,3,5
Customer Account Issue,North West,Manual Password/Username Reset,4,4,4
Delivery Issue,London,Partial Refund Issued,9,4,5
Delivery Issue,North East,Full Refund Issued,10,2,5
Customer Account Issue,Scotland,Automated Password/Username Reset,5,3,5
Service Complaint,Yorkshire and The Humber,Full Refund Issued,10,3,2
Delivery Issue,South East,Full Refund Issued,2,3,4
Collection Issue,South West,Full Refund Issued,4,1,1
Delivery Issue,Northern Ireland,Full Refund Issued,2,2,3
Customer Account Issue,West Midlands,Automated Password/Username Reset,2,1,1
Collection Issue,East of England,Full Refund Issued,7,1,1
Customer Account Issue,West Midlands,Account Updated,2,4,5
Customer Account Issue,North Wales,Automated Password/Username Reset,7,4,3
Collection Issue,Yorkshire and The Humber,Partial Refund Issued,7,2,4
Customer Account Issue,London,Automated Password/Username Reset,9,1,4
Collection Issue,Northern Ireland,Full Refund Issued,4,2,2
Customer Account Issue,London,Account Updated,3,2,1
Service Complaint,East Midlands,Full Refund Issued,2,2,4
Customer Account Issue,East of England,Automated Password/Username Reset,10,1,4
Service Complaint,East Midlands,Full Refund Issued,3,3,5
Collection Issue,East of England,Partial Refund Issued,6,2,2
Service Complaint,South Wales,Full Refund Issued,4,3,2
Service Complaint,North West,Partial Refund Issued,7,3,3
Service Complaint,North West,Full Refund Issued,9,3,5
Customer Account Issue,Yorkshire and The Humber,Account Updated,6,3,2
Service Complaint,North East,Partial Refund Issued,1,4,5
Customer Account Issue,North Wales,Automated Password/Username Reset,4,4,3
Delivery Issue,Scotland,Partial Refund Issued,6,4,1
Collection Issue,West Midlands,Partial Refund Issued,10,4,1
Collection Issue,South East,Full Refund Issued,8,2,1
Collection Issue,South Wales,Full Refund Issued,5,2,2
Service Complaint,London,Full Refund Issued,9,4,1
Customer Account Issue,North West,Manual Password/Username Reset,8,4,2
Collection Issue,South East,Full Refund Issued,7,2,2
Service Complaint,West Midlands,Full Refund Issued,1,3,5
Service Complaint,West Midlands,Partial Refund Issued,3,1,5
Delivery Issue,West Midlands,Full Refund Issued,5,2,4
Delivery Issue,Northern Ireland,Full Refund Issued,1,4,4
Customer Account Issue,East Midlands,Manual Password/Username Reset,5,4,2
Customer Account Issue,London,Manual Password/Username Reset,10,4,4
Customer Account Issue,East of England,Account Updated,4,1,4
Collection Issue,Scotland,Partial Refund Issued,9,2,5
Service Complaint,Yorkshire and The Humber,Partial Refund Issued,5,1,1
Customer Account Issue,Scotland,Manual Password/Username Reset,6,2,5
Collection Issue,London,Partial Refund Issued,10,1,3
Collection Issue,East Midlands,Partial Refund Issued,1,3,1
Service Complaint,South Wales,Full Refund Issued,6,2,1
Customer Account Issue,South East,Automated Password/Username Reset,2,1,5
Collection Issue,West Midlands,Full Refund Issued,4,1,1
Service Complaint,North West,Full Refund Issued,2,3,3
Delivery Issue,South West,Partial Refund Issued,8,2,2
Customer Account Issue,East Midlands,Manual Password/Username Reset,3,3,4
Service Complaint,West Midlands,Partial Refund Issued,5,3,5
Delivery Issue,East Midlands,Full Refund Issued,9,1,5
Delivery Issue,North East,Partial Refund Issued,5,1,1
Customer Account Issue,South East,Automated Password/Username Reset,6,4,3
Customer Account Issue,North West,Account Updated,5,3,3
Delivery Issue,South East,Full Refund Issued,1,2,4
Delivery Issue,East Midlands,Full Refund Issued,7,4,5
Collection Issue,North West,Partial Refund Issued,4,4,1
Customer Account Issue,North West,Automated Password/Username Reset,2,3,5
Collection Issue,Scotland,Partial Refund Issued,9,2,5
Customer Account Issue,East Midlands,Manual Password/Username Reset,5,3,5
Customer Account Issue,North East,Account Updated,1,4,2
Service Complaint,Northern Ireland,Partial Refund Issued,5,4,4
Collection Issue,Scotland,Full Refund Issued,1,4,1
Service Complaint,North East,Partial Refund Issued,2,1,3
Collection Issue,Scotland,Full Refund Issued,2,2,1
Collection Issue,North West,Full Refund Issued,9,1,2
Delivery Issue,East of England,Partial Refund Issued,1,2,1
Collection Issue,Yorkshire and The Humber,Full Refund Issued,9,4,4
Delivery Issue,London,Partial Refund Issued,1,2,5
Collection Issue,Yorkshire and The Humber,Full Refund Issued,2,1,4
Collection Issue,East of England,Full Refund Issued,1,3,3
Delivery Issue,Northern Ireland,Partial Refund Issued,4,3,2
Collection Issue,South East,Partial Refund Issued,5,1,2
Collection Issue,West Midlands,Partial Refund Issued,10,4,4
Delivery Issue,North Wales,Full Refund Issued,10,3,4
Customer Account Issue,Scotland,Account Updated,5,2,5
Service Complaint,North West,Partial Refund Issued,5,1,2
Collection Issue,South East,Partial Refund Issued,6,3,1
Delivery Issue,London,Full Refund Issued,6,1,4
Collection Issue,Yorkshire and The Humber,Full Refund Issued,5,2,3
Collection Issue,West Midlands,Full Refund Issued,7,1,1
Delivery Issue,South Wales,Partial Refund Issued,4,3,2
Collection Issue,North Wales,Full Refund Issued,7,1,5
Service Complaint,London,Partial Refund Issued,9,3,5
Service Complaint,North West,Full Refund Issued,1,1,5
Service Complaint,West Midlands,Full Refund Issued,2,2,5
Collection Issue,Northern Ireland,Partial Refund Issued,10,3,5
Collection Issue,East Midlands,Full Refund Issued,6,4,3
Service Complaint,North Wales,Partial Refund Issued,1,4,1
Collection Issue,East of England,Full Refund Issued,3,3,5
Service Complaint,South West,Partial Refund Issued,8,3,4
Delivery Issue,North East,Partial Refund Issued,6,4,4
Customer Account Issue,North West,Automated Password/Username Reset,5,3,4
Delivery Issue,West Midlands,Full Refund Issued,4,4,2
Service Complaint,East Midlands,Partial Refund Issued,7,1,3
Service Complaint,South Wales,Full Refund Issued,8,4,3
Customer Account Issue,North West,Manual Password/Username Reset,2,2,3
Collection Issue,East Midlands,Full Refund Issued,6,2,1
Collection Issue,North West,Full Refund Issued,5,3,2
Customer Account Issue,London,Account Updated,7,2,4
